Gene	RASMC_RNA_0H	RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H
Hcn3	0.391352795110484	0.45993617169954	0.297048856282526	0.25164850232457	0.337706846391373
Hcn4	0.221640649508068	2.93690397755721	0.268227504021426	0.217843119218255	0.108570995783706
Hcrt	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hcrtr1	0.104122056628218	0.132456629767507	0.0980164301185799	0.102055371520596	0.107942149579622
Hcrtr2	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hcst	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hdac1	74.0421049934605	92.6226309692509	134.812033503794	112.174714406529	81.1924507175943
Hdac10	13.6819107807746	9.6810198816484	4.83700537567305	13.4730286841217	9.74454900208032
Hdac11	0.115987767102966	0.10335533431009	0.0975461747138693	0.12507594825035	0.095323849614017
Hdac1l	3.17110967873761	4.69574629912108	8.52000596838216	8.25139377251119	3.88401327456669
Hdac2	76.7560223065289	92.2565843243869	80.77226294012	97.6862803342047	73.6118605206321
Hdac3	36.6207618575925	34.865628026335	39.6942911228658	61.0791435249617	49.3614539820039
Hdac4	5.85476364230845	14.5292418508504	9.8570470728889	5.97864466849078	5.10668717480231
Hdac5	29.8888342136967	56.0812265065359	28.0586494139648	58.2036463487269	31.3048013553959
Hdac8	4.36880288007544	6.49893537539447	1.23332166581224	6.00583517933955	1.95686275396567
Hdac9	1.59056602597481	5.33351761284985	0.432344465776284	10.2835909864875	0.911404639978236
Hdc	0.104028902084717	0.115229883357849	0.0978676702964256	0.186451919111949	0.110238722645744
Hddc2	20.9449879592893	16.2943113433594	15.7746865389324	28.1092477588194	26.0471949746432
Hddc3	6.44676884287637	3.58173949832303	1.51438128485553	11.41529451859	4.65901758831296
Hdgf	156.968466337017	185.353326871825	82.0034651642105	187.456225359006	81.5369961296479
Hdgfl1	0.105206108900185	0.105483134942541	0.111657076742166	0.115394513175361	0.114553478896823
Hdgfrp2	56.1887527542677	40.5152630101996	72.1393095544207	83.7758423371638	86.8930077253461
Hdgfrp3	25.6782459831351	33.8852490199174	17.9810285747305	34.3176355673208	15.0619061430909
Hdhd1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hdhd2	21.7147301238114	19.9406210413113	16.6394357164681	30.8627707933467	24.2904952491262
Hdhd3	5.6635841729293	4.58759557440957	3.35403065116387	8.97173157507892	3.57378421792439
Hdlbp	199.979339616506	296.221632337312	313.556495509975	292.77100410673	185.088336503354
Hdx	0.104143315725814	0.143594982146925	0.0979591742262181	0.102013184484542	0.101376101061355
Heatr1	0.112294207670085	0.102523595177997	0.112333403116562	1.32239413406849	0.0899581139744157
Heatr5b	6.54559659554433	4.80988611174775	3.57544897386469	8.44056466261977	6.09272984935607
Heatr6	6.18732448296504	6.40580809096986	5.38074699039644	7.44901665176638	6.47210315903672
Hebp1	19.8605044456461	34.3206144429289	52.3589605566266	47.2996355166732	50.5656806828432
Hebp2	4.66772061221189	1.89507329732804	1.11248646601307	9.78081713744296	1.04883960169452
Heca	8.25981950587647	7.53645781470696	4.15158182759337	6.99922425502513	2.94894064603177
Hectd2	3.27827864114213	4.77746067140538	4.07287939879894	3.60593366710333	4.11334445970779
