RASMC_RNA_0H	RASMC_RNA_PDGF_24H	LOG2_FOLD_CHANGE	P_VALUE
Acsl4	20.4158868903177	48.64291163608	1.25253734597038	0.0361594341574028
Acsl5	85.7863106832391	96.7938716157285	0.174168259341096	0.380765593035474
Acsm3	1.42470717508535	0.785696873215626	-0.858620703585407	0.405588159904044
Acss2	15.9974074863531	19.2861297363136	0.269725534878122	0.361529632814356
Acss3	0.888885796568294	0.394327718226846	-1.17260295004865	0.0900530040548119
Acta1	25.5344400705883	3.79282482060015	-2.7510997789518	0.000554455312550854
Acta2	5251.23664315476	945.178031479337	-2.473999208494	0.0612894716982057
Actb	4130.33831285514	3821.41512624568	-0.112152968127018	0.544862161506483
Actbl2	1.64203502810117	1.61476554599363	-0.0241601935038143	0.961540559847013
Actg1	1797.82491683457	2177.37254022786	0.276335739081333	0.209732490140339
Actg2	7.88857423999715	0.719540905358631	-3.45461596438473	0.000506446085955109
Actl6a	26.31287705149	38.5591997695815	0.551306109716815	0.0255181943435283
Actl7a	0.211704416845399	1.30040163628669	2.61883400237417	0.38095566307009
Actl7b	0.173526439468303	0.480172226418513	1.46839646252321	0.387111017511708
Actn1	368.971089862428	412.66451017799	0.161461588890127	0.415485861457132
Actn4	449.846875596393	393.864789154654	-0.191733554526971	0.407355005710175
Actr10	74.8094720473567	114.25249004885	0.610932753590002	0.0174626468456273
Actr1a	69.767313104526	98.1764676084609	0.492825986142321	0.036906998770786
Actr1b	36.6874976704681	53.7530059197934	0.551056927235848	0.017798714771593
Actr2	125.080343036228	271.252406429039	1.11678085554254	0.020499177991762
Actr3	208.396191607137	261.495368081619	0.327456479025762	0.0739689297039821
Actr3b	4.2271269139533	16.3480482569725	1.95136907393358	0.00721586453347424
Actr5	3.14029771207277	3.73903440191642	0.251764406597485	0.593992374034047
Actr6	15.489753838767	30.5065477365425	0.977804709862757	0.00633103762714221
Actr8	17.1171980345056	28.6404127512432	0.74260572216158	0.158504949113904
Actrt3	0.0985749631541935	1.05015913180669	3.41324288137429	0.103064063137762
Acvr1	16.973563722993	25.3952810254805	0.581270937993747	0.0695262110268433
Acvr1b	3.2164546645751	4.20296843293537	0.385937266672281	0.00854027707073696
Acvr2a	3.80556431033611	4.37474626418864	0.201088942412742	0.598731912899288
Acvr2b	0.729666307620315	1.17829877281983	0.691396655559272	0.467324997939361
Acvrl1	1.49905619961377	1.83664317301878	0.293016892847886	0.515053373298289
Acy1	26.5442959781384	55.9891790192878	1.07674614762747	0.00320578105159187
Acy3	19.0753306567082	27.114319149308	0.507346878871038	0.214658076442229
Acyp1	27.4221956692092	48.4096410496922	0.819950305902559	0.146341368896212
Acyp2	2.43408118146219	8.40900881117372	1.78855847117385	0.039675032155151
Ada	5.12345754891047	12.0335610086554	1.2318739903551	0.0779895628518429
Adal	4.02624365457302	3.03666152989401	-0.406948369032297	0.491624570765405
Adam10	13.6904543865634	25.1365278556541	0.876615051523504	0.0100613873484383
Adam15	15.9381473462886	37.160790267906	1.22129724276422	0.00151530448275291
Adam17	20.3858220822113	30.0656622820351	0.560550601989494	0.0318868830721318
Adam19	14.7264666052675	20.5662240956931	0.481865624321449	0.204198433227707
Adam1a	3.14537070232149	1.93553312587388	-0.700499059096176	0.18001645573494
Adam23	0.473725894935228	2.02436028272882	2.09534163436241	0.0112911374663155
Adam4	0.389754574142231	0.683005247926227	0.809330709195513	0.562023872923895
Adam4l1	0.773846090452814	0.580565804352314	-0.414587059662315	0.569894996446757
Adam9	40.3130285862729	54.1434724332732	0.425541243981612	0.128051562902084
Adamts1	104.553642183938	155.083362358103	0.568800599689855	0.0465594269481753
Adamts10	51.0897503543025	35.8900615761345	-0.509449487778708	0.00793722802740577
Adamts12	127.919561035191	45.3527352605318	-1.49597542462426	0.0880469047818241
Adamts14	1.87064855014411	6.56026302016553	1.81021512152471	0.109654083082303
Adamts15	5.39207230006029	0.875230156742991	-2.62310548785757	0.00572658868619076
Adamts2	14.9090813393012	17.6252712186982	0.241454092895802	0.321646520103744
Adamts3	1.44105674713539	0.748031950598581	-0.945955350079699	0.228831534222916
Adamts4	0.128078226316774	1.59308628000954	3.63672726479824	0.146049693127211
