RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	LOG2_FOLD_CHANGE	P_VALUE
Actbl2	2.78267980197754	1.61476554599363	-0.785150200168728	0.260463816460016
Actg1	3251.95643756019	2177.37254022786	-0.578719663216237	0.00147722914621038
Actg2	6.06438212046803	0.719540905358631	-3.07521205094365	0.000161455899160369
Actl6a	20.9085125133998	38.5591997695815	0.882984682747224	0.00143555783592863
Actl7a	0.191100967979772	1.30040163628669	2.76655028537578	0.373763608124307
Actl7b	0.478560362127858	0.480172226418513	0.00485105197738169	0.996386328184544
Actn1	684.453131797722	412.66451017799	-0.729982386195098	0.0106302164128891
Actn4	489.995494161096	393.864789154654	-0.315068034512875	0.0256282809337881
Actr10	89.0320106233045	114.25249004885	0.359829566185981	0.0112961621293884
Actr1a	62.4831462255901	98.1764676084609	0.651910159834281	0.00366016450782632
Actr1b	46.4581754494208	53.7530059197934	0.210412937513586	0.123881820456484
Actr2	129.044854120572	271.252406429039	1.071763323853	0.0209193560751943
Actr3	162.184385448906	261.495368081619	0.689150463402708	0.000765503813295693
Actr3b	10.9155348442049	16.3480482569725	0.582735585225223	0.0228489991416449
Actr5	1.872032896713	3.73903440191642	0.998059957909422	0.048953179417727
Actr6	9.98195243761683	30.5065477365425	1.61172499228233	0.00153620455472251
Actr8	8.3463528057591	28.6404127512432	1.77883447348812	1.0036548905689e-05
