RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
Abhd3	2.19610905578344	2.78236794155791	0.341363516729319	0.31451449275165
Abhd4	48.0181845443387	74.5573199665934	0.634769142224206	0.0490284978013911
Abhd5	38.4830299593745	44.2420603003061	0.201196177635557	0.266616497082104
Abhd6	6.56354391939542	21.9591384754143	1.7422745551083	0.0124767949588997
Abhd8	9.9438347926144	22.97508835121	1.20819617674853	0.00437510491790507
Abi1	39.4148660258107	40.39494361235	0.0354348459791217	0.611356851807118
Abi2	13.6563440933754	16.0172580460441	0.230055882623304	0.264512124941554
Abl1	0.396304194893324	0.660977973838252	0.737993958387354	0.0804098375854937
Abl2	4.19604261382917	2.22968192273081	-0.912191413722305	0.025021751423089
Abr	8.2325213532171	12.7515985228314	0.631271858736077	0.0096028967457052
Abra	0.488724113487494	0.0865035609849017	-2.49818885971748	0.255313681433159
Abracl	66.8041189335909	57.0634471111057	-0.227370157077479	0.298979884718556
Abt1	14.1331741108984	19.9441561070192	0.496880569306625	0.0463784811378146
Abtb1	3.18859606353267	8.53756997401075	1.42090415155238	0.000708352664626182
Abtb2	19.7236856790029	12.8530314968282	-0.617820495576208	0.0355249229742986
Ac1576	1.20336530987474	0.946296156449241	-0.346711002374411	0.769795910361035
Acaa1a	17.5059486512339	32.4067608713594	0.888449583398996	0.0225370068930421
Acaa1b	0.259927607732283	0.945407823152266	1.86282692775279	0.155612260911843
Acaa2	22.7531007482165	29.3970959829893	0.369610477872646	0.147483241698576
Acaca	12.6651658234375	15.1541250110732	0.258844588090867	0.41990820157842
Acad10	2.22106365168179	3.72986329948806	0.747872017763469	0.022712232520819
Acad11	12.0732870660381	9.04584011516317	-0.416492115142048	0.102023633018243
Acad9	5.95543284305891	10.7363711623672	0.85022817966766	0.0159768542125902
Acadl	71.6721626750944	89.1382734460836	0.31463212925677	0.138732481632762
Acadm	35.9855821123517	49.9519238262883	0.473121246445908	0.0588629956397742
Acads	14.0919705920386	15.3761950303142	0.125825171111244	0.702503965945116
Acadsb	13.0899172438379	5.40560522394059	-1.27592791684948	0.0332571549060653
Acadvl	27.245867600911	66.5565347768389	1.28854289049195	0.00520975616811811
Acan	2.08633667669898	0.487392430969362	-2.09781623568061	0.00594692423345541
Acap2	28.7060194383055	31.609754626343	0.139016545211424	0.527868186753979
Acap3	17.0223519433493	10.8071209975897	-0.655448142752299	0.0208065286065753
Acat1	38.7042169895262	31.6937107126381	-0.288294181776067	0.159455359268492
Acat2	22.8687283213434	21.5134353628266	-0.0881382237097295	0.70471018259653
Acbd3	29.984452710506	22.2397427312893	-0.431074541233178	0.0232997390127499
Acbd4	5.18366547107103	11.3649066934563	1.13254131787946	0.0192113572103988
Acbd5	4.64909164796235	4.78891290787207	0.0427493325574648	0.95394520301992
Acbd6	10.457404064802	15.0172532594888	0.522096197003229	0.0140048668186317
Acbd7	2.19246734850234	0.914075563840802	-1.26217001884961	0.332828977258419
Accs	1.44430782016504	2.49295319384971	0.787477544497603	0.063162194720825
Acd	32.9455338624731	63.9913206713739	0.957793336509202	0.101500747101132
Ace	0.20469825665533	0.133083963579637	-0.621162076367341	0.638292595738586
Acer2	0.612327479799474	0.405910781227569	-0.593140769895398	0.429382342814058
Ache	1.54213450641058	0.449447997470868	-1.7787024977368	0.102635924938592
Acin1	29.1846544039253	44.0576691194397	0.594183186611164	0.0415678672585308
Ackr3	13.9859692067538	1.52454416066773	-3.19753038803461	0.00176531338824224
Acly	208.660315299096	228.31462522953	0.129867034528459	0.409190392930186
Aco1	54.430776006347	39.9453992246328	-0.446393256353809	0.0152885619237027
Aco2	78.0754817871327	89.6828701567697	0.199962883192224	0.28669165352217
Acot12	0.847998292972671	0.0934065207519299	-3.18246618687097	0.424799516965455
Acot13	7.27686178114851	8.3592605465006	0.200058920308368	0.553667485146096
Acot2	0.982095017663903	0.649661810724455	-0.596173710716863	0.18216172638469
Acot3	0.727774197773957	0.923650076342467	0.34385548863283	0.624313822121569
Acot7	60.9904559496058	96.4999914057276	0.661945312718144	0.0419160612002869
Acot8	5.79653458052829	7.0942134581088	0.291452087874657	0.238493825546073
Acot9	40.4674440822134	53.9950759384831	0.416066115740528	0.0519211499215059
Acox1	20.793498020566	23.8107608504845	0.195481242938747	0.237058185314446
Acox3	4.4306293203857	6.06274264230744	0.45245895097959	0.0752331898045062
Acp1	21.7870697212799	15.3572575208373	-0.50455156801054	0.00737443507171409
