BRD4_UNSTIM	BRD4_2H	BRD4_24H
Frk	1570.719	1274.1811	1671.5542
Ftsj2	872.166	959.6644	1192.71995
Fundc1	692.01045	716.98665	788.7755
Fundc2	2861.03125	2818.9837	3635.35455
Fyco1	1258.8379	1410.4455	1390.67165
Fzd1	2951.41595	2164.6665	2976.96265
Fzd2	17419.8021	12693.86005	24794.1798
G2e3	1411.76025	1325.9132	1687.27215
Gal3st4	637.6043	722.6709	908.94995
Galk2	2984.75655	3028.52745	4029.6263
Galm	1665.02945	2122.3537	2979.04735
Galnt11	717.344	765.154	785.8136
Gatsl2	1250.9318	962.10195	1889.43555
Gcdh	1870.287	1734.2951	2450.86715
Gdpd1	3116.78875	2857.89595	3766.72175
Gemin4	4487.01745	4398.84325	6553.46495
Gfm2	1085.23985	1164.15385	1270.76965
Gfod2	4407.84995	3802.70165	5213.5234
Gga2	1659.75325	1584.31805	1827.37885
Gga3	2052.12165	2650.45235	2520.6966
Ghdc	2174.9541	2655.07305	3120.0652
Gle1	4572.8271	3897.88705	4736.71575
Glod4	6961.1492	6885.3772	10825.17335
Glrx2	1449.00065	1592.47995	1383.62315
Glt8d1	3136.60595	3238.97105	3287.76765
Gltscr1l	10547.7013	11464.10955	18394.34835
Gmppa	2761.99035	3120.1338	4057.43685
Gmpr2	5168.83815	5881.93255	6420.71845
Gnao1	590.24405	581.0908	907.8235
Gne	4790.39305	5142.1341	6796.6147
Gnpda1	5795.2694	5022.1441	7869.6643
Golga5	4250.451	4058.4467	5056.99975
Golgb1	939.821	956.055	1114.2273
Gorasp1	4436.0489	4454.5392	6092.01945
Gosr1	1603.2947	1717.1678	2205.3974
Gpalpp1	1852.80765	1800.0139	1998.6718
Gpam	2239.47315	2458.10655	3098.2329
Gpatch1	2138.0645	2088.9879	2786.28235
Gpatch11	1794.9494	1622.45295	1775.1559
Grtp1	2200.49645	2370.42135	3170.84385
Gsdmd	8677.1712	8522.73205	13294.6619
Gsr	2791.9909	2912.01975	4280.9925
Gstm1	3115.34635	2948.50925	4589.0297
Gstm4	3450.07415	3454.25765	4431.9345
Gtf2e2	1000.709	1022.3325	1277.6571
Gtf2h3	2361.94465	2716.75415	3133.73165
Gtf2i	2176.29145	1807.4216	2941.22735
Gtf3c3	5209.82675	4874.609	6901.39225
Gtpbp2	2965.076	3227.9627	4176.31075
Gucy1a3	1954.47195	1521.47375	1826.8008
Gucy1b3	1585.5929	1242.5062	1738.6439
H1f0	8091.12485	8743.0951	13542.7413
Habp4	5765.5755	5956.2798	5887.4947
Hacd3	3765.6977	3690.40305	4061.06945
Hace1	1300.5128	1207.8187	1716.4925
