RASMC_RNA_0H	RASMC_RNA_PDGF_JQ1_2H	LOG2_FOLD_CHANGE	P_VALUE
Adgre5	5.99637259331634	4.58812477788009	-0.386185402839579	0.1514931137666
Adgrg1	0.232913068105793	0.995774579597417	2.09602759893097	0.0344336399396788
Adgrl1	6.38820492455489	6.16088204524069	-0.0522736786762074	0.887483586257521
Adgrl2	36.2561880634883	23.3266415777875	-0.636248637482365	0.05080834851634
Adh1	2.63417409771193	0.975062846982464	-1.4337835844243	0.214330937971775
Adh5	53.3268354247966	47.2897967289964	-0.173332776175241	0.12207848022826
Adh6a	0.101328395919603	0.0940495202546447	-0.107546036961302	0.464650341109242
Adh7	6.80014859294575	1.5527717387133	-2.13072050607977	0.077140528443442
Adhfe1	1.19108686367318	0.515486516330846	-1.20827203363401	0.236454789005166
Adi1	9.93116074053905	7.97441256171716	-0.31658410175359	0.290710676251302
Adipor1	102.197086398594	91.5148284436853	-0.159276634161493	0.535600946042628
Adipor2	35.0252149083734	49.4107979587871	0.496432451952343	0.103666244026033
Adk	26.9057506238693	30.0414523804982	0.159040006853302	0.537453948539281
Adm	7.2862858573089	4.18721358681792	-0.799193085533998	0.0227356572673527
Adm2	1.14200620540548	0.0840347602920366	-3.76444046941329	0.173763022551983
Adnp	18.7971921685526	15.6068577606063	-0.268337076833077	0.0812621557543582
Adnp2	9.32201280765139	7.44943209503453	-0.323511048625592	0.0458378358780684
Ado	6.97905988555994	5.29680343788154	-0.397910739420147	0.433446444531117
Adora2b	0.450774127223168	0.557838899533474	0.307443828192112	0.827125427008823
Adpgk	21.5222855059527	21.1574117299689	-0.0246681418220882	0.847720500865992
Adprh	23.1204622315923	17.9937290421666	-0.361676037502688	0.460832269864728
Adprhl1	3.27716503090456	0.719955430769822	-2.18646882207963	0.00288945937163495
Adprhl2	31.6152084317718	37.4836575338068	0.245643002472893	0.418202503609672
Adprm	14.2874006704313	17.3033310936923	0.27630633177537	0.227321940119861
Adra1d	6.56847107332514	0.894015322095459	-2.87718613470378	0.115156099168256
Adra2a	0.0980926715265203	0.217382393058672	1.14801783137324	0.172286735426341
Adrb2	0.22520256908593	3.8142755066144	4.08211386311272	0.00612077002928102
Adrbk1	23.7182799731335	23.9553338887037	0.0143475310297412	0.823865684648599
Adrm1	77.7234889601399	91.7474773194054	0.239317826205162	0.118881004736884
Adsl	25.0818365091755	13.993150621859	-0.841922158659256	0.0135130123910803
Adss	74.2470261371471	118.562538040761	0.675243089514097	0.02989645388806
Aebp1	113.101634947634	84.4623189801686	-0.421240021309454	0.0468967387768582
Aebp2	14.7992751621447	16.8810963917712	0.189882089733628	0.150214223357226
Aen	28.7483386430014	34.5941513360281	0.267049563487518	0.228006753827386
Aes	355.586594545857	324.978058311791	-0.129858621894836	0.407735238212364
Afap1	39.6840419745106	52.5513538037738	0.40516895338379	0.0736675568321079
Afap1l2	7.86530809710591	0.587909323304587	-3.74183771746133	0.00273154813147125
Aff1	6.1101456150316	11.4354654385729	0.904236419129434	0.0129232460304588
Aff3	5.93331073119662	5.43446131064959	-0.126700303992807	0.569681730270354
Aff4	20.2238858507025	22.1879157177416	0.133713924740006	0.286846704212121
Afg3l1	29.4274703382792	16.5118720120864	-0.833659836594641	0.121117588102216
Afg3l2	21.8158627207384	38.0471455021772	0.802410692145515	0.0124820737998193
Afmid	0.660705456010078	0.774695152897643	0.229621454734683	0.771924515827603
Aftph	12.5031785530652	8.02985277664728	-0.63884946086971	0.00524945434154018
Aga	75.9636599585746	51.5267251624001	-0.559988513431069	0.166273118997187
Agap1	8.28728796421266	6.32677586532615	-0.389429566066712	0.179422600661258
Agap3	13.7190050953927	8.83765248902231	-0.634440752622137	0.00391085105880486
Agbl5	2.11043503901351	0.463372250466298	-2.18729686800284	0.0199461544917865
Ager	2.0894973302766	1.65080624277535	-0.339985116109886	0.688689065640033
Agfg1	39.4384174195839	32.1483688890263	-0.294856119143098	0.490809987774443
Agfg2	13.2266531951201	11.9897870270276	-0.141642023015638	0.506027590772235
Agk	9.9665290321655	3.61810337897806	-1.4618575253423	0.00821708831414226
Agl	9.59311057834408	5.70501073792434	-0.749769084863838	0.0107441307542007
Ago1	6.5627734942133	3.14227630198424	-1.06249559804188	0.0457843839521065
Ago2	6.13435918653159	11.9290992401213	0.959500561375549	0.00384296157517322
