RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
Actr6	30.5065477365425	29.7332238487974	-0.0370430299421999	0.747052361877434
Actr8	28.6404127512432	24.5253147664024	-0.223780631536043	0.0622439475455505
Actrt3	1.05015913180669	0.109151251627574	-3.2662073788852	0.104516809961409
Acvr1	25.3952810254805	9.17819564152205	-1.46827797444306	0.000656865910865558
Acvr1b	4.20296843293537	2.21434644617363	-0.924527663916993	0.0371584987853591
Acvr2a	4.37474626418864	3.48063128976182	-0.329850348302193	0.242291979638252
Acvr2b	1.17829877281983	0.844805900601946	-0.480013583009426	0.582164722603702
Acvrl1	1.83664317301878	0.139169826984313	-3.72215300020225	0.0566774784874744
Acy1	55.9891790192878	39.6973626498892	-0.496104862597189	0.00922924677635508
Acy3	27.114319149308	0.684306283910681	-5.30826893842602	9.1614493801465e-05
Acyp1	48.4096410496922	19.8739939090137	-1.28441256888507	0.014334841691212
Acyp2	8.40900881117372	6.76830298400074	-0.313141604442448	0.32195881281494
Ada	12.0335610086554	3.55275585265823	-1.76005317809214	0.0458595732736041
Adal	3.03666152989401	3.82283866162988	0.332158201358641	0.175825680609733
Adam10	25.1365278556541	23.123671132268	-0.120414922577939	0.377667423896176
Adam15	37.160790267906	33.4043008534664	-0.153747318860995	0.145899602647135
