NM_001134417	Rbbp8
NM_001012190	Ubap1
NM_001106683	Mfsd2a
NM_001113543	Wtap
NM_001173972	Itga8
NM_001008382	Cnot8
NM_001014181	Dph6
NM_001108298	Cdc6
NM_181362	Cand2
NM_001108754	Mrpl4
NM_152861	Rbm10
NM_175755	Ppm1f
NM_001107935	Dcaf10
NM_080577	Nploc4
NM_001014116	Jmjd8
NM_001005893	Repin1
NM_001107824	Ddx31
NM_001106095	Lig4
NM_031975	Ptms
NM_032062	Kalrn
NM_001107834	Pbx3
NM_020087	Notch3
NM_001012177	Mccc2
NM_001037793	Dock8
NM_001004248	Tmem30a
NM_001039031	Tkfc
NM_001014120	Fkbp10
NM_001106422	Tnik
NM_019362	Stk39
NM_031021	Csnk2b
NM_001034829	Ubxn1
NM_001005908	Ghitm
NM_012551	Egr1
NM_001007146	Tob2
NM_001172809	Ercc2
NM_001012090	Zc3h8
NM_001170429	Nxnl2
NM_001037193	Acd
NM_139340	Plekha5
NM_001033900	Ngrn
NM_001014762	Pdrg1
NM_173111	Tpm3
NM_001047897	Ormdl3
NM_053335	Ctbp2
NR_037379	Mir3596c
NM_023969	Lpar3
NM_001271196	Usp34
NM_134351	Mat2a
NM_012678	Tpm4
NM_001100730	Nipsnap1
NM_001037770	Fbxo22
NM_001173370	Tmem184b
NM_001025737	Smpdl3b
NM_001100658	Hspa9
NM_001134885	Usp40
NM_001130550	Pop1
NM_022390	Qdpr
NM_001135008	Pabpn1
NM_001100502	Gbe1
NM_001107060	Polg2
NM_206881	Amigo1
NM_031014	Atic
NM_001191827	Rhbdd2
NM_001013068	Mrpl46
NM_053592	Dut
NM_012876	Rps29
NM_001024305	Prpf38b
NM_080900	Afap1
NM_001270688	Fxyd5
NR_102351	LOC100910973
NM_001105939	Naca
NM_145096	Zdhhc2
NM_001135012	Usp4
NM_017181	Fah
NM_053402	Wnt4
NM_030830	Luzp1
NM_001024261	Trnt1
NM_001134955	Elmo2
NM_001108785	Crtap
NM_001127483	Dis3
NM_001106295	Tufm
NM_001109021	Bcl7b
NM_001034136	Mrpl2
NM_001013103	Cdc34
NM_001039207	Narf
NM_001025714	Bloc1s6
NM_001035221	Ypel5
NM_001135742	Irgq
NM_053435	Xrcc1
NM_001109627	LOC691153
NM_001191780	Scyl2
NM_001107008	Zfp287
NR_031925	Mir212
NM_001271264	Ankrd27
NM_001109449	Glyctk
NM_133320	Ndel1
NM_001025701	Rad21
NM_001105713	Prkca
NM_134407	Akr7a2
NM_017105	Bmp3
NM_022867	Map1lc3b
NM_001025696	Yars
NM_001009967	Pip5k1c
NM_001109246	Exoc6b
NM_001106623	RGD1311164
NM_019370	Enpp3
NM_130412	Sdf4
NM_001105750	Stim2
NM_001106251	Ctu1
NM_053458	Rab9a
NM_031761	Figf
NM_001173510	Ahcyl2
NM_031026	Dync1li2
NM_031788	Rest
NM_019140	Ptprs
NM_001163273	Cmip
NM_001270415	Parn
NM_001107120	Daglb
NM_001033968	Bag6
NM_001106999	RGD1310352
NM_171995	Ddb1
NM_001039849	Gpx4
NM_001109232	Ccdc126
NM_001191773	Wdr60
NM_001191064	Heatr5b
NM_001003654	Pard6a
NM_001107059	Ddx42
NM_031685	Gosr2
NM_001135158	Myh1
NM_001014128	Rsrc2
NM_001191567	Golim4
NM_001034105	Tnnc1
NM_012618	S100a4
NM_001014036	Larp1b
NM_001013871	Tmem183a
NM_001034919	RGD1562218
NM_001135582	Zmat2
NM_001029923	Oscp1
NM_001012192	Tssc1
NM_001107697	Otud7b
NM_001106749	RGD1310769
NM_001126275	Ccm2
NM_001106182	Cog8
NM_053529	Ciita
NM_031017	Creb1
NM_021754	Nop58
NM_022595	Pdap1
NM_173340	Rpl13a
NM_001270939	Gps1
NM_001170438	Nfxl1
NM_001024777	Pdzd9
NM_001271170	Scaf11
NM_001271151	Cetn4
NM_013014	Pspn
NM_012891	Acadvl
NM_001014110	Prickle3
NM_181087	Cyp26b1
NM_001267534	Accs
NM_133419	Dkc1
NM_001017375	Mphosph8
NM_001130563	Mtss1
NM_001012063	Sae1
NM_001191986	Cyp4f17
NM_001025732	Nop56
NM_153300	Aldh1a3
NM_001106901	Cnnm3
NM_001033655	Dnah1
NR_110645	LOC100363521
NR_130137	Aptr
NM_001012093	Zfp64
NM_172090	Epb41l1
NM_001107231	Patz1
NM_001108587	Ccdc34
NM_001126300	Islr
NM_021681	Epb41l1
NM_001014171	Veph1
NM_001107996	Klhl21
NM_020082	Rnase4
NM_001127546	Kdelr3
NM_031118	Soat1
NM_001008291	Tfip11
NM_001013858	Tlcd1
NM_001172089	Gemin5
NM_001034933	Arsa
NM_001024749	RGD1305713
NM_012519	Camk2d
NM_199096	Necap2
NM_001305419	Pibf1
NM_001271362	Scube3
NM_001106673	Gpx7
NM_053643	Cds2
NM_001009474	Pir
NM_057134	Chrd
NM_001107905	Ubxn2b
NM_001006969	Irf3
NM_001007671	Cyb5d2
NM_001198796	Ccpg1os
NM_001134781	Ankib1
NM_022279	Mre11a
NM_001017377	Paqr4
NM_017256	Tgfbr3
NM_001004094	Psma3l
NM_001047099	Ythdf2
NM_001106933	Ap3s1
NM_001007752	Mns1
NM_022860	B4galnt1
NM_024127	Gadd45a
NM_181628	Tsg101
NM_001001511	Gcnt2
NM_001127609	Samd15
NM_053658	Gng3
NM_001014186	Orc5
NM_001109148	Mrps11
NM_134385	Prl8a9
NM_001106503	Stard7
NM_001077645	Prkacb
NM_145184	Usp15
NM_001025142	Trim35
NM_001106876	Mllt1
NM_013184	Ntf4
NM_001135749	Cks1b
NM_053691	Nek2
NM_001037977	Ap4m1
NM_001109668	Tollip
NM_001004230	Edem2
NM_183325	Adprh
NM_001010948	Slc10a7
NM_019283	Slc3a2
NM_001008285	Spice1
NM_001033701	Zeb2
NM_001105848	Helz
NM_001037195	Rhog
NM_001037183	Mrpl47
NM_031122	St13
NM_001105724	Rasa2
NM_001008298	Stard3nl
NM_001127527	Yeats4
NM_001126272	Zfp692
NM_013011	Ywhaz
NM_001106733	Trappc6b
NM_001038495	Atg12
NM_001106235	Ccdc97
NM_001007750	Chpt1
NM_001012091	Foxs1
NM_001029926	Gli4
NM_001007714	Morf4l2
NM_001108761	Sin3a
NM_001105980	Nvl
NM_001014269	Lrrfip1
NM_001105760	Ptar1
NM_001109281	Tmem198b
NM_022514	Rpl27
NM_138847	Nip7
NM_001305282	Inip
NM_001134962	Ttll13
NM_001014136	Ngly1
NM_019186	Arl4a
NM_001106188	Wwox
NM_001037362	Idnk
NM_001109352	Foxj2
NM_001004201	Lrrc46
NM_001014206	RGD1309534
NM_001108700	Gpatch11
NM_001191644	Usp22
NM_001198580	Naca
NM_001271180	Abhd11
NM_001108332	Wbscr16
NM_053973	Rraga
NM_001108821	Abcd1
NM_001108552	Trim2
NM_001014153	Prmt7
NM_001106976	Ppl
NM_001113751	Cdk2ap1
NM_001012228	Xkr5
NM_022262	Tsnax
NM_054004	Cand1
NM_001191083	Rpp30
NM_001033890	Rtfdc1
NM_001024327	Zfp467
NM_054011	Sh3bp5
NM_001105792	Hes7
NM_022381	Pcna
NM_031345	Tsc22d3
NM_024135	Limk2
NM_001106978	Glis2
NM_001108727	Coq10a
NM_001107730	Kif5c
NM_001037556	Nmnat1
NM_001199178	Apoo
NM_001109120	Mboat1
NM_033653	Maoa
NM_001106676	Arhgef39
NM_001008278	Cdkn2aipnl
NM_133652	Cspg5
NM_001106533	Ergic3
NM_001106104	Ptpdc1
NM_001100815	Gtpbp10
NM_001108052	Rin3
NM_001168674	Sntb2
NM_001106434	Tm4sf1
NM_001107320	Prosc
NM_001013224	Nmnat3
NM_012836	Cpd
NM_017253	Bcat1
NM_013122	Igfbp2
NM_001169105	RGD1311747
NM_001134558	Uvssa
NM_001126279	Ufl1
NM_001100840	Txndc12
NM_022847	Pgr
NM_001107737	Itga4
NM_174864	Ncstn
NR_110701	LOC100909539
NM_053394	Klf5
NM_198738	Psat1
NM_001113570	Gtf3a
NM_017088	Gdi1
NM_001134840	Cnot1
NM_001105774	Rpusd1
NM_001014259	Polr3k
NM_022546	Dapk3
NM_001013866	Cmss1
