BRD4_UNSTIM	BRD4_2H	BRD4_24H
Jun	7269.62045	8744.83925	13396.34285
Jup	6835.22005	6288.47645	12194.6788
Kif21b	5934.19815	6346.89135	9888.8171
Klhl28	2152.19035	2132.86065	2184.9485
Krt8	12533.1924	15074.1479	18545.2103
Lama4	464.27915	380.0941	678.62595
Lama5	13182.96565	14295.14725	20783.58635
Lap3	666.45665	618.7494	975.72865
Layn	7150.5625	7955.60965	8358.50365
Ldha	3584.04465	3823.33865	5546.2996
Lgals3bp	11301.47625	10361.17155	18974.42705
Lman2	2082.50035	2521.68275	3488.35315
LOC100911483	4536.5517	4223.20505	6940.7797
LOC288913	9911.1066	11806.3599	15810.0639
LOC294154	7195.1266	7731.3247	10385.97225
LOC301124	3070.77645	3104.3339	4156.8142
Loxl2	2755.3366	3239.8798	3011.6696
Lpcat1	4612.13525	5427.16415	6984.18895
Lpcat4	3322.56965	3807.67895	3648.7324
Lrp10	9855.4286	12568.53835	14854.96205
Lsm4	9024.7976	9173.0526	15296.36935
Ltbp1	739.70765	859.13235	1130.5914
Ltbr	4899.17535	4727.12205	8637.92855
Lysmd2	1755.2096	2638.2317	2590.2491
Mafg	5784.4661	7081.7358	9792.26005
Man1c1	3042.62425	4069.63975	5146.10545
Map1lc3a	7111.92205	6714.4396	9863.55005
Map2k1	1823.16245	1874.0646	2349.5803
Mapk6	8944.1405	10702.79275	15538.50925
Mapkapk3	3761.1864	4382.19165	6303.7742
Mbd2	6030.69925	7460.7727	6312.14925
Mbd3	6685.95785	6325.7422	9427.5107
Mcfd2	11323.809	16593.5819	20623.4662
Mdh2	2413.35005	1956.0758	3204.45785
Mdm2	9757.88495	9910.67975	14921.4052
Med29	16428.65875	16236.59715	22354.7653
Mettl9	12617.18415	12196.40285	12827.57785
Mfsd11	8667.454	8716.04405	11492.3608
Mgp	1971.6662	2215.86595	2033.76795
Mif	4174.67365	3388.35555	6749.52005
Minos1	4852.0947	4914.2256	6999.8774
Mkln1	1907.94055	1669.44135	3304.56435
Mlec	2943.5478	3352.1023	4210.9889
