BRD4_UNSTIM	BRD4_2H	BRD4_24H
Arfgef2	1819.29625	2184.77775	2472.21455
Arfip1	3052.01325	2997.5447	3296.42985
Arfip2	4172.21225	4676.73415	4620.7036
Arfrp1	1373.7173	1444.3366	1956.72215
Arg1	2809.44065	2446.03615	2846.5343
Arglu1	4911.87355	5419.54615	5921.17295
Arhgap1	3300.88805	2657.5587	3817.9317
Arhgap10	5776.6881	6368.80205	7752.56865
Arhgap11a	2904.17695	2643.62795	3364.32075
Arhgap12	1838.2358	1596.6971	2173.3512
Arhgap17	11759.7277	11730.62885	14176.911
Arhgap18	743.7347	760.88265	1323.58035
Arhgap21	10163.6107	10924.41075	9788.1084
Arhgap22	3625.12465	3443.741	5488.7628
Arhgap24	630.18795	634.9596	702.9596
Arhgap29	2792.3772	2736.60135	2979.74905
Arhgap31	1780.0028	1745.04825	2209.7422
Arhgap35	10429.46545	10534.46085	11058.37915
Arhgap39	2013.29465	2009.61565	2650.43505
Arhgdia	8847.29365	9848.3096	13954.3594
Arhgef1	2638.47865	2937.93795	3811.15685
Arhgef11	833.13645	702.122	1073.24395
Arhgef12	2959.76665	2900.2401	3706.45215
Arhgef2	9512.9077	8883.83095	14991.50955
Arhgef25	3193.28985	2988.577	4974.41815
Arhgef3	2614.2799	3179.87135	3392.7377
Arhgef39	10514.76965	9414.78435	12235.25775
Arhgef40	3369.2642	3012.64555	4899.1293
Arhgef6	2665.89165	2436.67465	2433.11405
Arhgef7	2853.64465	3055.65485	3690.9923
Arid4a	4352.8732	4696.5765	5671.7374
Arid5b	5722.22685	5715.14305	7088.31505
Arih1	2765.1046	2954.61185	3364.44435
Arih2	4299.61785	5392.8869	5809.07385
Arl1	1181.04365	1311.0726	1814.40685
Arl10	2308.6348	2248.56355	3139.72
Arl13b	627.0021	522.26045	599.74055
Arl14ep	1941.2424	1652.1074	2342.16235
Arl2	5822.00225	5509.1732	7722.30865
Arl2bp	5097.6552	4649.0354	6493.5788
Arl4a	4182.71595	3030.0462	3391.07945
Arl4c	7052.25325	8076.703	10405.1556
Arl4d	6345.03245	5820.665	9432.948
Arl5a	1397.31435	1559.85785	1561.98165
Arl5b	1468.2364	1568.6246	1870.808
Arl6	1014.7065	983.24505	1321.3165
Arl6ip1	4502.5847	4523.33355	5673.17955
Arl6ip4	3318.9048	3494.22255	6226.1203
Arl6ip5	3513.89245	4068.09555	4022.0213
Arl6ip6	1288.41205	1214.6741	1436.97785
Arl8a	3193.95415	3112.3082	5234.23455
Arl8b	2193.68195	2764.28545	3029.88945
Armc1	2245.71925	2503.39775	2681.1419
Armc10	1846.25505	2058.49545	2563.70345
Armc5	6726.5006	6488.3343	9272.50175
Armc6	3509.68335	3716.29165	4727.9521
Armc7	5390.39915	5479.4055	11063.37355
Armc8	1486.3081	1378.5771	1833.77225
Armc9	16847.3182	10431.8703	16180.771
Armcx2	682.7707	655.58965	905.36755
Armcx3	608.7369	527.60875	801.1707
Armt1	8581.0951	9101.5156	9308.046
Arnt	2981.5448	3131.61875	4155.1447
Arnt2	3418.3764	3824.9253	4564.2086
Arntl	12589.28605	14538.60925	20372.58505
Arpc1a	4512.34765	3905.8512	6460.18995
Arpc1b	5106.85705	4677.54635	7506.3746
Arpc2	7804.07875	8435.76405	9616.79615
Arpc3	5107.7517	4982.8748	7265.6863
Arpc4	5742.35415	4632.93215	7097.7432
Arpc5	1855.9234	2218.9015	2462.03955
Arpc5l	3317.4495	3376.77445	4343.6829
Arpin	2674.41945	3234.13115	4123.5524
Arpp19	1760.25545	2033.821	2189.35245
Arrb1	754.41705	1034.54245	2219.52995
Arrb2	1297.9288	1890.83695	1742.52935
Arrdc1	2190.8692	2070.41165	2769.984
Arrdc2	6242.6159	5722.4647	10832.77675
Arrdc3	3588.11045	3674.1103	4180.28025
Arsa	1618.9552	967.8427	2638.48235
Arsb	868.8735	1203.3509	1585.03695
Arse	1722.44745	1643.15875	2272.01585
Arsi	38621.51265	25581.93705	47172.80415
Arsj	2619.16895	2866.12085	3212.07635
Arsk	1139.687	955.8176	1303.2382
Arv1	881.77915	1015.74955	1308.14235
Arvcf	3790.1241	3735.21815	5245.8206
As3mt	3332.92605	3528.4332	4806.90225
Asah1	1686.50585	1511.24785	1762.9869
Asap1	11890.72455	10178.61355	12625.3608
Asb1	3005.7536	2531.18125	3738.7595
Asb13	10395.11425	10604.3538	16127.98145
Asb3	1866.727	2168.62435	2009.1918
Asb6	9184.09335	9378.38555	14955.54505
Asb7	4862.91855	4696.71655	5180.80405
Asb8	5026.21235	4444.6879	6472.0979
Ascc1	4015.67555	4066.59465	5849.7394
Ascc2	4003.8369	3862.57135	6299.3027
