brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_24	h3k27ac_log2_2_v_24	rna_log2_2_v_24
Tmem47	1180.8556	1934.6497	1373.8894	4933.6277	5843.4082	5071.8252	47.7888786558688	41.0408949134213	50.722737550982	-0.493806496579943	-0.204305050439146	0.305570421264563
Slc20a2	6360.21	9761.454	6932.2253	18115.5445	30432.6419	16307.96625	31.978062260148	44.7025933501229	48.8489835817028	-0.493777514459238	-0.900042705427449	0.127970014330227
Clec2g	34300.05505	44322.8776	31482.77465	104426.2084	95277.87505	76802.3483	2.92582818117142	2.05109487666595	13.8480188288604	-0.49348885484722	-0.310990814321826	2.7552134587859
Anxa3	2421.321	3246.35675	2333.9912	5474.65485	5843.819	3803.51135	15.7841530778011	48.6848246196805	12.4466585126212	-0.476022428279533	-0.619579584209644	-1.9677136631326
Pi15	12199.7649	7656.0191	5531.6721	15983.1465	4568.26235	8646.13245	3.58212934060153	1.35988758985932	1.73095129248758	-0.468878788388675	0.920409431651061	0.348077727763517
Cox15	11392.0438	16820.928	12160.55335	30736.72585	33071.5417	24797.54695	4.63119176081153	3.5221777852155	6.68373449097692	-0.468048422147987	-0.415392889565862	0.924186691592171
Cutc	11392.0438	16820.928	12160.55335	30736.72585	33071.5417	24797.54695	6.37688223736712	6.56736923932155	9.4032397919749	-0.468048422147987	-0.415392889565862	0.517842337919053
Aff3	4652.38225	5363.50015	3882.26355	12219.0121	6233.56725	5242.8243	5.93331073119662	7.16868209374311	3.15809519171881	-0.466276732246014	-0.249713804514144	-1.18265325732374
Ddah1	8110.00395	13196.18505	9556.75905	26632.1062	35018.61795	21142.55735	39.0784361970911	49.2405738527524	33.9564836169358	-0.46552756388123	-0.727972255276708	-0.536160507662679
Cul1	2644.5248	3633.66635	2633.4251	8552.9914	14037.95885	8903.8516	55.7424646888089	56.8823497657776	79.0143363963866	-0.464485527837107	-0.656831727194227	0.474133377468418
Fjx1	3639.31275	5566.04555	4040.83585	8715.01955	20272.7804	11569.51575	14.3002479680732	121.247436825181	29.631628853435	-0.46199896865833	-0.809215486436662	-2.03274441032713
Inhba	10284.1102	14792.9648	10755.30795	28731.3294	36944.5088	27102.81585	42.6242330193815	292.334060269886	99.0851748784205	-0.459862392634008	-0.446917198842156	-1.56087680677874
Nup54	1108.29445	1604.2282	1166.55075	3961.80385	7021.41205	3281.0768	18.2848620961716	30.895547997007	16.4253395573187	-0.459630306288146	-1.09759183138674	-0.911475767511374
Rfc3	2119.85395	3012.78835	2197.63545	5247.17725	5974.6379	3758.60635	18.199105800403	23.1333426051204	10.2450637440465	-0.455147238600444	-0.668653453943968	-1.17504477958973
Apool	1183.88115	1758.95835	1283.2326	2371.46815	3423.42235	2502.4368	14.2066408575767	15.082820266839	26.963910118428	-0.454938623496627	-0.452105655914497	0.83812350456883
Tmem71	2182.2145	2501.47195	1825.58315	3883.10625	2163.47815	3010.6118	0.155460185008626	0.104341368205845	0.770346297091736	-0.454419894077807	0.47670414297632	2.88419587619176
Snx2	7517.86745	8391.2095	6152.7014	12153.3248	10479.90895	8684.26895	47.7473528830042	56.269100566664	73.547638383845	-0.447658796136729	-0.271149870997036	0.386336114433406
Krit1	3218.87765	4053.0766	2975.93855	8529.59945	9372.57545	7897.2259	20.2810091419269	26.5612585908135	25.5179605965213	-0.445672704839433	-0.247099575155012	-0.0578104765593634
Srpx2	3226.7159	3438.83995	2526.2352	16959.2926	12136.11185	9478.63585	116.781118357647	122.821944023654	145.885342187191	-0.444933007148036	-0.356554938233728	0.24826659259227
Card6	1574.4743	2030.6672	1492.78125	4569.60485	4519.7034	3542.97895	7.64049844431973	4.86216461502523	11.1522054528884	-0.443951049491448	-0.351265206694453	1.19765840113389
Trappc13	1730.2061	2212.92525	1629.69105	5485.29885	5119.6505	4806.64455	37.0373027995049	29.6428503179267	49.484579060048	-0.441356229130903	-0.0910152054891498	0.73929482928373
Pex3	2141.31	3056.65515	2251.7796	3405.5091	4827.38665	2850.3857	7.59383686225626	8.7947529661588	9.73388784154244	-0.440888171396352	-0.760085233413138	0.146373096568559
Adat2	2121.5188	3041.63755	2243.314	3379.0099	4820.01305	2823.2209	5.94370720916034	4.6484709079981	7.92758282040451	-0.439216677015619	-0.771695037116194	0.770124817707933
Cblb	7909.06635	11150.0693	8226.87915	27178.9842	25872.6385	22355.3054	7.75538396845108	5.02396663416928	11.343729911371	-0.438635520736238	-0.210809933088262	1.1749963002826
Uap1	3534.5173	5446.80795	4019.9151	9387.3153	17790.72345	9730.05865	14.177705508972	160.732794096629	41.6341321591583	-0.4382459676017	-0.870604771902824	-1.9488256529879
Ankib1	3150.53175	3972.7176	2932.12415	8086.28835	9136.46995	7433.2138	10.7762103550429	9.59504927520403	13.3695509022365	-0.438180052948898	-0.297650755548943	0.478588884061919
Zfp317	787.67115	896.9677	663.4107	2961.4791	2360.2454	1638.99995	8.03760853139869	4.44763235179375	6.83734963649436	-0.435153753107732	-0.52612105719397	0.620399663665993
Prl8a9	2160.28075	1946.37565	1440.54135	4280.5384	1705.1614	2968.66545	1.53032070259989	0.473372178133423	0.112769870292874	-0.434179103851093	0.799906217515746	-2.06959325410278
Abhd17b	8229.19735	9262.1579	6855.97645	15537.7384	13735.03625	11494.2581	11.9663454299113	10.9985359283369	17.6215292160257	-0.433986198258632	-0.256947368111977	0.680027636404514
Vcpip1	5976.5937	6734.90685	4985.5203	11284.6698	12678.55275	9070.20935	7.75917144626197	13.4433938591181	14.3488175842808	-0.433913916669304	-0.483182316836105	0.0940344559334334
Fam26e	1211.08505	1669.21685	1236.13585	1534.9021	1885.44845	1804.28045	0.369846715326576	0.141532814431703	2.39613454876077	-0.43333408656272	-0.0634841036682321	4.08150043493053
Zmynd15	1229.27505	2156.73885	1602.7332	4442.56805	7534.50155	4042.64765	0.78214617590531	1.75451835782012	2.12265824165339	-0.428317211157745	-0.898211606174863	0.274797066011508
Rb1cc1	5274.773	6892.4254	5127.48525	16029.3245	16039.33455	14082.71645	30.572575035762	12.5577508095723	21.8446506952403	-0.426760310768103	-0.187688641763037	0.798701947179964
