GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
4042	Mageh1	37.3216	42.4512	1_RASMC_H3K27AC_PDGF_2H_REP2_27009_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_27009_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_27008_lociStitched_1
4897	Nox4	546	2768.7068	3_RASMC_H3K27AC_UNSTIM_NEW_1816_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_1816_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_1817_lociStitched,10_RASMC_H3K27AC_PDGF_24H_REP2_1011_lociStitched_1,10_RASMC_H3K27AC_PDGF_24H_REP2_1011_lociStitched_2,10_RASMC_H3K27AC_PDGF_24H_REP2_1011_lociStitched_3
3223	Hpse	88.9111	26.404	1_RASMC_H3K27AC_PDGF_2H_REP2_8250_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_8250_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_8821_lociStitched_2
345	Ankrd1	1458.2	11899.8916	1_RASMC_H3K27AC_PDGF_24H_REP2_2088_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_2088_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_3014_lociStitched_2,17_RASMC_H3K27AC_UNSTIM_REP1_1513_lociStitched_1,17_RASMC_H3K27AC_UNSTIM_REP1_1513_lociStitched_2,17_RASMC_H3K27AC_UNSTIM_REP1_1513_lociStitched_3
142	Adamts10	1125.4	4994.546	1_RASMC_H3K27AC_PDGF_2H_NEW_25602_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_25602_lociStitched,1_RASMC_H3K27AC_UNSTIM_REP1_11857_lociStitched,5_RASMC_H3K27AC_UNSTIM_REP1_11858_lociStitched,16_RASMC_H3K27AC_PDGF_2H_NEW_25604_lociStitched_1,16_RASMC_H3K27AC_PDGF_2H_NEW_25604_lociStitched_2,16_RASMC_H3K27AC_PDGF_2H_NEW_25604_lociStitched_3
4416	Mospd1	257.462	818.2435	4_RASMC_H3K27AC_PDGF_2H_REP2_27423_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_27423_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_27423_lociStitched_2,1_RASMC_H3K27AC_UNSTIM_NEW_33286_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_31709_lociStitched
1073	Ccz1b	615.6	64.125	4_RASMC_H3K27AC_PDGF_24H_NEW_6864_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_6864_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_6864_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_6864_lociStitched_3
4375	Mmadhc	794.2	8504.9303	5_RASMC_H3K27AC_PDGF_2H_NEW_18001_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_18001_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_18001_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_18001_lociStitched_3,2_RASMC_H3K27AC_UNSTIM_REP1_8321_lociStitched,1_RASMC_H3K27AC_UNSTIM_REP1_8322_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_18436_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_18437_lociStitched,9_RASMC_H3K27AC_PDGF_2H_REP2_16276_lociStitched
5893	Psmd1	654.6	3362.9082	4_RASMC_H3K27AC_UNSTIM_REP1_13855_lociStitched,4_RASMC_H3K27AC_UNSTIM_REP1_13855_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_18403_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_18403_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_18403_lociStitched_3,1_RASMC_H3K27AC_PDGF_24H_NEW_30573_lociStitched
512	Armc9	715.2	8088.1902	4_RASMC_H3K27AC_UNSTIM_REP1_13855_lociStitched,4_RASMC_H3K27AC_UNSTIM_REP1_13855_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_32030_lociStitched,13_RASMC_H3K27AC_PDGF_24H_NEW_30578_lociStitched_1,13_RASMC_H3K27AC_PDGF_24H_NEW_30578_lociStitched_2,13_RASMC_H3K27AC_PDGF_24H_NEW_30578_lociStitched_3,2_RASMC_H3K27AC_UNSTIM_NEW_32031_lociStitched
2066	Eed	935.4	2876.8712	6_RASMC_H3K27AC_PDGF_2H_NEW_1691_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_NEW_1691_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_NEW_1691_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_NEW_1691_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_REP1_741_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_741_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_REP2_1042_lociStitched,8_RASMC_H3K27AC_UNSTIM_REP1_744_lociStitched
3591	Khdc3	6.468	985.943	1_RASMC_H3K27AC_PDGF_2H_REP2_25256_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_25256_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_25256_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_28911_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_28911_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_28912_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_30239_lociStitched
7417	Sri	598.2	228.849	6_RASMC_H3K27AC_PDGF_24H_REP2_12266_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_12266_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_12266_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_12266_lociStitched_3
